simulation time,steering angle
3.524859,0.072790
3.533192,0.073535
3.541525,0.064286
3.549858,0.049185
3.558191,0.030654
3.566524,0.023763
3.574857,0.019834
3.583190,0.001678
3.591523,-0.001271
3.599856,0.002063
3.608189,-0.016622
3.616522,-0.010326
3.624855,-0.017893
3.633188,-0.008563
3.641521,-0.012821
3.649854,-0.010064
3.658187,-0.005465
3.666520,-0.000808
3.674853,-0.000175
3.683186,0.000328
3.691519,0.004011
3.699852,0.006473
3.708185,0.008906
3.716518,0.008751
3.724851,0.007270
3.733184,0.005175
3.741517,0.002999
3.749850,0.003824
3.758183,0.005634
3.766516,0.005851
3.774849,0.003447
3.783182,-0.011865
3.791515,-0.002643
3.799848,-0.002461
3.808181,-0.003258
3.816514,-0.004758
3.824847,-0.006427
3.833180,-0.004966
3.841513,-0.003453
3.849846,0.000686
3.858179,-0.000159
3.866512,-0.004609
3.874845,-0.005245
3.883178,-0.006747
3.891511,-0.002559
3.899844,0.000931
3.908177,0.008098
3.916510,0.005248
3.924843,0.006253
3.933176,0.007456
3.941509,0.004964
3.949842,0.006275
3.958175,0.003855
3.966508,-0.000441
3.974841,-0.003863
3.983174,-0.004128
3.991507,-0.003928
3.999840,-0.005845
4.008173,-0.006717
4.016506,-0.003945
4.024839,-0.002407
4.033172,-0.003183
4.041505,-0.001651
4.049838,-0.002454
4.058171,-0.001288
4.066504,-0.002334
4.074837,-0.002786
4.083170,-0.003606
4.091503,-0.002857
4.099836,-0.002739
4.108169,-0.003505
4.116502,-0.005311
4.124835,-0.003973
4.133168,-0.003629
4.141501,-0.001850
4.149834,0.000076
4.158167,-0.000060
4.166500,0.000061
4.174833,0.000974
4.183166,-0.000651
4.191499,0.001318
4.199832,0.000730
4.208165,0.000668
4.216498,-0.000597
4.224831,-0.009165
4.233164,-0.009021
4.241497,-0.007629
4.249830,-0.004492
4.258163,-0.003851
4.266496,-0.004649
4.274829,-0.005522
4.283162,-0.006586
4.291495,-0.006237
4.299828,-0.005695
4.308161,-0.006271
4.316494,-0.001476
4.324827,0.002877
4.333160,0.003604
4.341493,0.004576
4.349826,0.007627
4.358159,0.005442
4.366492,0.004616
4.374825,0.002462
4.383158,0.002078
4.391491,-0.000173
4.399824,-0.001455
4.408157,-0.000982
4.416490,-0.003275
4.424823,-0.004052
4.433156,-0.006160
4.441489,-0.006870
4.449822,-0.007048
4.458155,-0.006135
4.466488,-0.005226
4.474821,-0.003304
4.483154,-0.001654
4.491487,-0.000166
4.499820,0.001062
4.508153,0.000610
4.516486,-0.001053
4.524819,-0.003108
4.533152,-0.004829
4.541485,-0.006778
4.549818,-0.005759
4.558151,-0.000127
4.566484,0.001347
4.574817,-0.000557
4.583150,-0.000714
4.591483,-0.013719
4.599816,-0.016662
4.608149,-0.004843
4.616482,-0.004459
4.624815,0.000624
4.633148,-0.003363
4.641481,-0.003563
4.649814,-0.000786
4.658147,0.001333
4.666480,0.003255
4.674813,0.005567
4.683146,0.007303
4.691479,0.006212
4.699812,0.003505
4.708145,0.000800
4.716478,0.004096
4.724811,0.001959
4.733144,-0.001942
4.741477,-0.003024
4.749810,-0.003171
4.758143,-0.002688
4.766476,-0.005496
4.774809,-0.004723
4.783142,-0.005999
4.791475,-0.007357
4.799808,-0.005511
4.808141,-0.003335
4.816474,-0.003541
4.824807,-0.000969
4.833140,0.001808
4.841473,0.001652
4.849806,0.002389
4.858139,-0.000084
4.866472,-0.001286
4.874805,-0.002099
4.883138,-0.004089
4.891471,-0.004462
4.899804,-0.004420
4.908137,-0.003259
4.916470,-0.001013
4.924803,0.000893
4.933136,0.000601
4.941469,0.000066
4.949802,-0.005736
4.958135,-0.008593
4.966468,-0.001208
4.974801,-0.002640
4.983134,0.000249
4.991467,-0.002197
4.999800,-0.002173
5.008133,0.000768
5.016466,0.001954
5.024799,0.000010
5.033132,0.002533
5.041465,0.003353
5.049798,0.001632
5.058131,0.001049
5.066464,0.002469
5.074797,0.000701
5.083130,-0.000346
5.091463,-0.002769
5.099796,-0.001944
5.108129,-0.004076
5.116462,-0.005087
5.124795,-0.003990
5.133128,-0.002762
5.141461,-0.001988
5.149794,0.000201
5.158127,0.002775
5.166460,0.001724
5.174793,0.003588
5.183126,0.002973
5.191459,0.003358
5.199792,0.001216
5.208125,0.000963
5.216458,-0.001027
5.224791,-0.002569
5.233124,-0.003783
5.241457,-0.004641
5.249790,-0.005662
5.258123,-0.006925
5.266456,-0.004920
5.274789,-0.004033
5.283122,0.001493
5.291455,0.001911
5.299788,0.001881
5.308121,-0.005989
5.316454,-0.010715
5.324787,0.000915
5.333120,0.002407
5.341453,0.005673
5.349786,0.004225
5.358119,0.001377
5.366452,-0.002690
5.374785,-0.003724
5.383118,-0.001896
5.391451,-0.001230
5.399784,0.000571
5.408117,0.003192
5.416450,0.004700
5.424783,0.004986
5.433116,0.003363
5.441449,0.003516
5.449782,0.004433
5.458115,0.001158
5.466448,-0.001428
5.474781,-0.000457
5.483114,-0.001367
5.491447,-0.001269
5.499780,-0.001886
5.508113,-0.003731
5.516446,-0.002604
5.524779,-0.003048
5.533112,-0.003183
5.541445,-0.003312
5.549778,-0.002301
5.558111,-0.001270
5.566444,0.000685
5.574777,0.002931
5.583110,0.003714
5.591443,0.003837
5.599776,0.003508
5.608109,0.002361
5.616442,-0.000157
5.624775,-0.000041
5.633108,-0.001721
5.641441,0.000401
5.649774,0.001244
5.658107,0.002710
5.666440,0.005763
5.674773,0.001596
5.683106,0.001390
