simulation time,steering angle
3.050000,0.000067
3.075000,0.000253
3.100000,-0.000594
3.125000,-0.001128
3.150000,-0.001250
3.175000,-0.000819
3.200000,-0.000856
3.225000,-0.000792
3.250000,0.000023
3.275000,0.000856
3.300000,0.001007
3.325000,0.001080
3.350000,0.000656
3.375000,-0.000258
3.400000,0.000433
3.425000,0.000588
3.450000,0.000564
3.475000,0.000394
3.500000,-0.002050
3.525000,-0.003806
3.550000,-0.003447
3.575000,-0.001196
3.600000,-0.000365
3.625000,0.002763
3.650000,-0.000632
3.675000,-0.000581
3.700000,-0.001149
3.725000,-0.000116
3.750000,0.000190
3.775000,0.001155
3.800000,0.002199
3.825000,0.001961
3.850000,0.001860
3.875000,0.000594
3.900000,0.000336
3.925000,0.000181
3.950000,-0.000505
3.975000,-0.001076
4.000000,0.000888
4.025000,0.001292
4.050000,0.001196
4.075000,-0.001849
4.100000,-0.002241
4.125000,-0.003063
4.150000,-0.002414
4.175000,0.000045
4.200000,0.000173
4.225000,0.000387
4.250000,-0.001337
4.275000,-0.000943
4.300000,0.000072
4.325000,0.001286
4.350000,0.002411
4.375000,0.002857
4.400000,0.002570
4.425000,0.001240
4.450000,0.001011
4.475000,0.000936
4.500000,0.000751
4.525000,0.000077
4.550000,-0.000792
4.575000,-0.001871
4.600000,0.000501
4.625000,0.000611
4.650000,0.000759
4.675000,-0.002238
4.700000,-0.002769
4.725000,-0.003176
4.750000,-0.001074
4.775000,0.000533
4.800000,0.001422
4.825000,0.001079
4.850000,-0.000763
4.875000,-0.000413
4.900000,-0.000047
4.925000,0.001145
4.950000,0.001411
4.975000,0.001744
