simulation time,steering angle
0.025000,-0.000271
0.050000,-0.000108
0.075000,0.000301
0.100000,0.000869
0.125000,0.002348
0.150000,0.001143
0.175000,0.000526
0.200000,0.004211
0.225000,-0.000490
0.250000,0.000387
0.275000,0.002066
0.300000,-0.003467
0.325000,0.000452
0.350000,-0.000712
0.375000,0.000993
0.400000,0.000283
0.425000,-0.000061
0.450000,0.000198
0.475000,0.000441
0.500000,0.000274
0.525000,0.000074
0.550000,-0.000106
0.575000,-0.000897
0.600000,-0.002541
0.625000,-0.000330
0.650000,0.000429
0.675000,-0.000474
0.700000,0.000225
0.725000,-0.000855
0.750000,-0.005837
0.775000,-0.001537
0.800000,0.000005
0.825000,0.006085
0.850000,0.007695
0.875000,0.001427
0.900000,0.000650
0.925000,0.000522
0.950000,-0.000172
0.975000,-0.004420
1.000000,-0.003817
1.025000,-0.001896
1.050000,-0.000285
1.075000,-0.000383
1.100000,0.000760
1.125000,-0.001152
1.149999,-0.002588
1.174999,-0.002650
1.199999,0.000220
1.224999,0.000703
1.249999,0.000837
1.274999,0.000274
1.299999,0.005781
1.324999,0.008893
1.349999,-0.002795
1.374999,-0.003631
1.399999,-0.001811
1.424999,-0.001490
1.449999,-0.000707
1.474999,0.000905
1.499999,-0.003025
1.524999,-0.001632
1.549999,-0.000097
1.574999,0.000773
1.599999,0.001888
1.624999,0.000084
1.649999,-0.000349
1.674999,-0.001543
1.699999,-0.003453
1.724999,-0.001193
1.749999,-0.001748
1.774999,0.000246
1.799999,0.000234
1.824999,-0.002825
1.849999,-0.004506
1.874999,-0.002423
1.899999,-0.011302
1.924999,-0.001183
1.949999,-0.003373
1.974999,-0.003514
1.999999,-0.000876
2.024999,0.000987
2.049999,0.006827
2.074999,0.000691
2.099999,0.006967
2.124999,0.009853
2.149999,0.010636
2.174999,0.009478
2.199999,0.008524
2.224999,0.008454
2.250000,0.007993
2.275000,0.007918
2.300000,0.010269
2.325000,0.008546
2.350000,0.008322
2.375000,0.002660
2.400000,-0.002239
2.425000,0.004600
2.450000,0.007256
2.475000,0.009390
2.500000,0.006345
2.525001,0.008783
2.550001,0.011526
2.575001,0.008573
2.600001,0.012930
2.625001,0.013895
2.650001,0.012693
2.675001,0.013070
2.700001,0.013245
2.725001,0.010963
2.750001,0.009902
2.775002,0.007936
2.800002,0.008389
2.825002,0.010235
2.850002,0.010336
2.875002,0.005887
2.900002,0.007478
2.925002,0.000281
2.950002,0.005301
2.975002,0.007089
3.000002,0.007949
3.025002,0.009426
3.050003,0.006707
3.075003,0.011081
3.100003,0.005620
3.125003,0.007575
3.150003,0.010065
3.175003,0.011036
3.200003,0.011608
3.225003,0.011803
3.250003,0.010562
3.275003,0.008573
3.300004,0.007088
3.325004,0.007961
3.350004,0.007980
3.375004,0.007794
3.400004,0.004917
3.425004,-0.006742
3.450004,0.006977
3.475004,0.001183
3.500004,0.009890
3.525004,0.010099
3.550004,0.001945
3.575005,0.011489
3.600005,0.016621
3.625005,0.014112
3.650005,0.014090
3.675005,0.012055
3.700005,0.009852
3.725005,0.011279
3.750005,0.013055
3.775005,0.012818
3.800005,0.010335
3.825006,0.009689
3.850006,0.008250
3.875006,0.006742
3.900006,0.002049
3.925006,-0.007392
3.950006,0.001251
3.975006,0.018198
4.000006,0.004580
4.025006,0.003562
4.050006,0.007073
4.075006,0.010715
4.100007,0.013282
4.125007,0.012536
4.150007,0.013571
4.175007,0.013144
4.200007,0.011629
4.225007,0.009003
4.250007,0.009466
4.275007,0.010546
4.300007,0.010808
4.325007,0.009403
4.350008,0.007800
4.375008,0.007662
4.400008,0.006059
4.425008,-0.005637
4.450008,0.008655
4.475008,0.007328
4.500008,0.004920
4.525008,0.006231
4.550008,0.004033
4.575008,0.006380
4.600008,0.006136
4.625009,0.010615
4.650009,0.010630
4.675009,0.013579
4.700009,0.012313
4.725009,0.011822
4.750009,0.010957
4.775009,0.008739
4.800009,0.009749
4.825009,0.009833
4.850009,0.011025
4.875010,0.010721
4.900010,0.004894
4.925010,0.003521
4.950010,-0.006920
4.975010,0.000801
5.000010,0.006880
5.025010,0.010510
5.050010,0.013569
5.075010,0.010260
5.100010,0.008912
5.125010,0.006698
5.150011,0.011551
5.175011,0.013958
5.200011,0.015581
5.225011,0.014289
5.250011,0.012929
5.275011,0.011468
5.300011,0.009742
5.325011,0.009283
5.350011,0.009910
5.375011,0.010128
5.400012,0.010061
5.425012,0.006735
5.450012,-0.009270
5.475012,0.007010
5.500012,0.004815
5.525012,0.009974
5.550012,0.011668
5.575012,0.010825
5.600012,0.007578
5.625012,0.012130
5.650012,0.008774
5.675013,0.008432
5.700013,0.007899
5.725013,0.010616
5.750013,0.011885
5.775013,0.010929
5.800013,0.009046
5.825013,0.008235
5.850013,0.006917
5.875013,0.007424
5.900013,0.008707
5.925014,0.009404
5.950014,0.002401
5.975014,0.010947
6.000014,0.005443
6.025014,0.002308
6.050014,0.002634
6.075014,0.010801
6.100014,0.011673
6.125014,0.012352
6.150014,0.009040
6.175014,0.008093
6.200015,0.007046
6.225015,0.007617
