simulation time,yL
0.000000,-0.023504
0.025000,-0.023716
0.050000,-0.023148
0.075000,-0.021364
0.100000,-0.017909
0.125000,-0.014422
0.150000,-0.010565
0.175000,-0.006577
0.200000,-0.003398
0.225000,-0.000667
0.250000,0.001916
0.275000,0.004246
0.300000,0.005171
0.325000,0.007448
0.350000,0.008898
0.375000,0.004954
0.400000,0.011316
0.425000,0.008489
0.450000,0.008249
0.475000,0.007980
0.500000,0.007913
0.525000,0.007803
0.550000,0.007083
0.575000,0.006371
0.600000,0.005882
0.625000,0.005291
0.650000,0.004915
0.675000,0.004411
0.700000,0.004029
0.725000,0.003466
0.750000,0.002952
0.775000,0.002614
0.800000,0.002033
0.825000,0.001893
0.850000,0.001534
0.875000,0.000284
0.900000,0.000882
0.925000,0.001110
0.950000,0.001822
0.975000,-0.000485
1.000000,-0.000110
1.025000,-0.000768
1.050000,-0.000746
1.075000,-0.000767
1.100000,-0.000997
1.125000,-0.001125
1.149999,-0.000855
1.174999,-0.000788
1.199999,-0.000639
1.224999,-0.000182
1.249999,0.000146
1.274999,-0.000090
1.299999,-0.000212
1.324999,-0.000389
1.349999,-0.000205
1.374999,-0.000302
1.399999,0.000207
1.424999,-0.000362
1.449999,-0.006493
1.474999,-0.001598
1.499999,0.002416
1.524999,-0.000943
1.549999,0.000240
1.574999,0.000026
1.599999,0.000514
1.624999,0.000986
1.649999,0.000893
1.674999,0.000311
1.699999,0.000601
1.724999,0.000680
1.749999,0.000568
1.774999,0.000524
1.799999,0.000496
1.824999,0.000186
1.849999,-0.000321
1.874999,-0.000142
1.899999,-0.000427
1.924999,-0.000927
1.949999,-0.000628
1.974999,-0.000087
1.999999,-0.001249
2.024999,-0.000180
2.049999,-0.000373
2.074999,0.000752
2.099999,0.000166
2.124999,0.000474
2.149999,0.000944
2.174999,0.000629
2.199999,0.000202
2.224999,-0.000047
2.250000,-0.000005
2.275000,-0.000101
2.300000,-0.000050
2.325000,0.000204
2.350000,-0.000167
2.375000,-0.000159
2.400000,-0.000101
2.425000,-0.000443
2.450000,-0.000169
2.475000,-0.000051
2.500000,0.000090
2.525001,0.000063
2.550001,-0.000388
2.575001,-0.000377
2.600001,-0.000207
2.625001,-0.000139
2.650001,0.000059
2.675001,0.000076
2.700001,-0.000155
2.725001,-0.000545
2.750001,-0.000649
2.775002,-0.000631
2.800002,-0.000486
2.825002,-0.000400
2.850002,-0.000214
2.875002,-0.000178
2.900002,-0.000082
2.925002,-0.000828
2.950002,-0.000340
2.975002,-0.000362
3.000002,0.000142
3.025002,0.000416
3.050003,0.000377
3.075003,0.000479
3.100003,0.000294
3.125003,0.000624
3.150003,0.000489
3.175003,0.000462
3.200003,0.000523
3.225003,0.000510
3.250003,0.000225
3.275003,-0.000091
3.300004,-0.000526
3.325004,-0.000765
3.350004,-0.000573
3.375004,-0.000266
3.400004,-0.000097
3.425004,0.000284
3.450004,-0.000160
3.475004,-0.000319
3.500004,-0.000454
3.525004,-0.000237
3.550004,-0.000216
3.575005,-0.000133
3.600005,0.000157
3.625005,-0.000291
3.650005,0.000391
3.675005,-0.000993
3.700005,-0.003674
3.725005,-0.000308
3.750005,0.000815
3.775005,0.000481
3.800005,0.000852
3.825006,0.000520
3.850006,0.000674
3.875006,0.000754
3.900006,0.000886
3.925006,-0.000128
3.950006,0.000658
3.975006,0.000717
4.000006,0.000086
4.025006,0.000292
4.050006,-0.000037
4.075006,0.000182
4.100007,-0.000017
4.125007,0.000320
4.150007,-0.000763
4.175007,-0.000437
4.200007,0.003757
4.225007,0.001001
4.250007,-0.003252
4.275007,-0.000855
4.300007,-0.002524
4.325007,-0.001165
4.350008,-0.001545
4.375008,-0.000391
4.400008,0.000359
4.425008,-0.000059
4.450008,0.001006
4.475008,0.000024
4.500008,-0.000315
4.525008,0.000640
