simulation time,yL
0.045000,0.514461
0.070000,0.512483
0.095000,0.601783
0.120000,0.600812
0.145000,0.783755
0.170000,0.825072
0.195000,0.844689
0.220000,0.798191
0.245000,0.822868
0.270000,0.802162
0.295000,0.773865
0.320000,0.798936
0.345000,0.713305
0.370000,0.549585
0.395000,0.548738
0.420000,0.540620
0.445000,0.543676
0.470000,0.547904
0.495000,0.542064
0.520000,0.815425
0.545000,2.003233
0.570000,0.871629
0.595000,0.894052
0.620000,0.534430
0.645000,-0.672455
0.670000,0.696111
0.695000,0.621708
0.720000,1.092785
0.745000,1.216815
0.770000,0.654161
0.795000,0.511432
0.820000,0.532092
0.845000,0.514852
0.870000,0.517692
0.895000,0.632449
0.920000,0.717299
0.945000,0.730228
0.970000,0.744251
0.995000,0.758171
1.020000,0.789224
1.045000,0.784880
1.070000,0.698563
1.095000,0.640368
1.120000,-7.574467
1.145000,-5.271409
1.170000,-3.598301
1.195000,-1.849654
1.220000,-1.373846
1.245000,-1.215320
1.270000,-1.132305
1.295000,-2.164108
1.320000,-4.977064
1.345000,-26.619589
1.370000,29.250494
1.395000,2.541689
1.420000,2.677518
1.445000,8.847681
1.470000,-2.691217
1.495000,-0.143917
1.520000,0.323477
1.545000,-0.615364
1.570000,-0.043703
1.595000,-0.495648
1.620000,-1.536923
1.645000,-1.562443
1.670000,-1.255545
1.695000,-1.419050
1.720000,-1.205082
1.745000,-0.789278
1.770000,0.402674
1.795000,0.451042
1.820000,0.685782
1.845000,0.519383
1.870000,1.195363
1.895000,1.311847
1.920000,1.398346
1.945000,1.424747
1.970000,1.464112
1.995000,1.537799
2.020000,1.416710
2.045000,1.332541
2.070000,1.074062
2.095000,0.807884
2.120000,0.326337
2.145000,0.298631
2.170000,1.298185
2.195000,1.334877
2.220000,0.738521
2.245000,0.706712
2.270000,0.983078
2.295000,1.104223
2.320000,1.091083
2.345000,1.061399
2.370000,0.991931
2.395000,0.933192
2.420000,0.854630
2.445000,0.739141
2.470000,0.627882
2.495000,-0.085973
2.520000,-0.087928
2.545000,0.578316
2.570000,0.635262
2.595000,0.672679
2.620000,0.750310
2.645000,0.714714
2.670000,0.701708
2.695000,0.756898
2.720000,-0.893750
2.745000,-1.346030
2.770000,-3.998020
2.795000,-4.112645
2.820000,-1.215220
2.845000,-0.949192
2.870000,0.424444
2.895000,0.379147
2.920000,0.892262
2.945000,1.038597
2.970000,2.407131
2.995000,6.202042
3.020000,11.601189
3.045000,24.613182
3.070000,14.697183
3.095000,81.417549
3.120000,3.363983
3.145000,4.816769
3.170000,3.147704
3.195000,5.081548
3.220000,-0.668278
3.245000,39.564178
3.270000,12.458227
3.295000,7.115390
3.320000,2.959845
3.345000,2.340455
3.370000,1.702433
3.395000,1.040099
3.420000,0.970618
3.445000,-1.503234
3.470000,-0.526071
3.495000,5.898453
3.520000,53.213337
3.545000,-0.636366
3.570000,0.123169
3.595000,0.809146
3.620000,0.843641
3.645000,3.589567
3.670000,39.921291
3.695000,20.101173
3.720000,13.783928
3.745000,12.135406
3.770000,9.985366
3.795000,7.856281
3.820000,6.186032
3.845000,5.118599
3.870000,4.751288
3.895000,4.579214
3.920000,6.753140
3.945000,7.084057
3.970000,2.971987
3.995000,1.857845
4.020000,0.711716
4.045000,0.454849
4.070000,2.672749
4.095000,1.909325
4.120000,0.748344
4.145000,0.866492
4.170000,-0.089332
4.195000,inf
4.220000,2.211555
4.245000,1.798777
4.270000,1.512420
4.295000,1.385176
4.320000,-nan
4.345000,-nan
