simulation time,yL
3.025000,0.000273
3.050000,0.001016
3.075000,-0.002408
3.100000,-0.004370
3.125000,-0.005066
3.150000,-0.003777
3.175000,-0.004411
3.200000,-0.004298
3.225000,-0.001120
3.250000,0.002083
3.275000,0.002870
3.300000,0.003738
3.325000,0.002548
3.350000,-0.000665
3.375000,0.002400
3.400000,0.002662
3.425000,0.002587
3.450000,0.002046
3.475000,-0.007726
3.500000,-0.014524
3.525000,-0.013872
3.550000,-0.006412
3.575000,-0.004469
3.600000,0.008189
3.625000,-0.005430
3.650000,-0.003117
3.675000,-0.005423
3.700000,-0.001359
3.725000,-0.000615
3.750000,0.003382
3.775000,0.007771
3.800000,0.007302
3.825000,0.007876
3.850000,0.003433
3.875000,0.002998
3.900000,0.002230
3.925000,-0.000811
3.950000,-0.003305
3.975000,0.004247
4.000000,0.005036
4.025000,0.004938
4.050000,-0.006853
4.075000,-0.007693
4.100000,-0.011968
4.125000,-0.010305
4.150000,-0.001573
4.175000,-0.001995
4.200000,-0.000578
4.225000,-0.007003
4.250000,-0.004695
4.275000,-0.000981
4.300000,0.003614
4.325000,0.008314
4.350000,0.010759
4.375000,0.010648
4.400000,0.006369
4.425000,0.006318
4.450000,0.006030
4.475000,0.005137
4.500000,0.002306
4.525000,-0.001275
4.550000,-0.005918
4.575000,0.003161
4.600000,0.002342
4.625000,0.003134
4.650000,-0.008689
4.675000,-0.010175
4.700000,-0.012780
4.725000,-0.005368
4.750000,-0.000173
4.775000,0.003285
4.800000,0.002586
4.825000,-0.003809
4.850000,-0.001525
4.875000,-0.000399
4.900000,0.004191
4.925000,0.005161
4.950000,0.007022
4.975000,0.009180
