simulation time,steering angle
3.050000,0.032939
3.075000,0.034290
3.100000,0.029583
3.125000,0.022262
3.150000,0.017923
3.175000,0.015417
3.200000,0.012640
3.225000,0.010482
3.250000,0.007203
3.275000,0.006933
3.300000,0.005031
3.325000,0.001523
3.350000,0.002471
3.375000,-0.000735
3.400000,-0.000226
3.425000,-0.000406
3.450000,-0.000604
3.475000,0.004879
3.500000,0.004084
3.525000,0.000175
3.550000,-0.002943
3.575000,-0.003231
3.600000,-0.002159
3.625000,-0.001618
3.650000,-0.002176
3.675000,-0.002323
3.700000,-0.003032
3.725000,-0.004501
3.750000,-0.005707
3.775000,-0.007505
3.800000,-0.008261
3.825000,-0.008281
3.850000,-0.008162
3.875000,-0.008730
3.900000,-0.007717
3.925000,-0.004821
3.950000,-0.005520
3.975000,-0.008364
4.000000,-0.005765
4.025000,-0.002740
4.050000,0.003479
4.075000,-0.000213
4.100000,-0.001681
4.125000,-0.001342
4.150000,-0.000396
4.175000,-0.002155
4.200000,-0.004319
4.225000,-0.007715
4.250000,-0.008636
4.275000,-0.006683
4.300000,-0.002062
4.325000,-0.001039
4.350000,-0.003515
4.375000,-0.003953
4.400000,-0.003088
4.425000,-0.002078
4.450000,-0.002568
4.475000,-0.003130
4.500000,-0.002204
4.525000,-0.000783
4.550000,-0.000554
4.575000,-0.001854
4.600000,-0.002244
4.625000,-0.000867
4.650000,-0.000026
4.675000,-0.003783
4.700000,-0.005311
4.725000,-0.005415
4.750000,-0.003016
4.775000,-0.004946
4.800000,-0.005229
4.825000,0.000104
4.850000,0.003221
4.875000,0.001133
4.900000,-0.000376
4.925000,-0.001074
4.950000,-0.000148
4.975000,0.000150
5.000000,0.000401
5.025000,0.001005
5.050000,0.000695
5.075000,0.000276
5.100000,-0.000415
5.125000,-0.001173
5.150000,-0.002112
5.175000,-0.002827
5.200000,-0.001451
5.225000,0.000126
5.250000,-0.002359
5.275000,-0.003891
5.300000,-0.002309
5.325000,-0.001073
5.350000,-0.002789
5.375000,-0.002749
5.400000,-0.000551
5.425000,0.001374
5.450000,0.003320
5.475000,0.002494
5.500000,0.002328
5.525000,0.001561
5.550000,0.001180
5.575000,0.000173
5.600000,-0.000316
5.625000,0.000036
5.650000,-0.000363
5.675000,-0.000357
5.700000,0.000329
5.725000,0.000476
5.750000,0.000351
5.775000,0.000436
5.800000,0.000386
5.825000,0.000147
5.850000,-0.002691
5.875000,-0.002165
5.900000,-0.001462
5.925000,-0.001262
5.950000,-0.003390
5.975000,-0.002871
6.000000,-0.000856
6.025000,0.001169
6.050000,0.002786
6.075000,0.001810
6.100000,0.001512
6.125000,0.000886
6.150000,0.000465
6.175000,-0.000284
6.200000,-0.000122
6.225000,0.000139
6.250000,0.000564
6.275000,0.000432
6.300000,0.001167
6.325000,0.001050
6.350000,0.000300
6.375000,0.000275
6.400000,0.000527
6.425000,0.000315
6.450000,-0.001647
6.475000,-0.001080
6.500000,-0.000899
6.525000,-0.002330
6.550000,-0.003175
6.575000,-0.003181
6.600000,-0.001362
6.625000,0.000848
6.650000,0.002252
6.675000,0.001756
6.700000,0.000941
6.725000,0.000531
6.750000,0.000238
6.775000,-0.000547
6.800000,-0.000177
6.825000,0.000317
6.850000,0.001201
6.875000,0.001516
6.900000,0.002001
6.925000,0.001348
6.950000,0.000747
6.975000,0.000060
7.000000,0.000191
7.025000,0.000096
7.050000,-0.001949
7.075000,-0.001307
7.100000,-0.000874
7.125000,-0.002084
7.150000,-0.003855
7.175000,-0.003303
7.200000,-0.001583
7.225000,0.000619
7.250000,0.001853
7.275000,0.001408
7.300000,0.000647
7.325000,0.000112
7.350000,-0.000299
7.375000,-0.000299
7.400000,0.000346
7.425000,0.001528
7.450000,0.001658
7.475000,0.001728
7.500000,0.002258
7.525000,0.001619
7.550000,0.000873
7.575000,0.000337
7.600000,-0.000532
7.625000,-0.000213
7.650000,-0.001260
7.675000,-0.000595
7.700000,-0.001453
7.725000,-0.001259
7.750000,-0.003266
7.775000,-0.003298
7.800000,-0.001681
7.825000,0.000435
7.850000,0.001726
7.875000,0.001464
7.900000,0.000704
7.925000,-0.000085
7.950000,-0.000227
7.975000,-0.000372
8.000000,0.000150
8.025000,0.001195
8.050000,0.001719
8.075000,0.001826
8.100000,0.002100
8.125000,0.001472
8.150000,0.001000
8.175000,0.000404
8.200000,-0.000538
8.225000,-0.000328
8.250000,-0.001284
8.275000,-0.000692
8.300000,-0.001764
8.325000,-0.001287
8.350000,-0.002879
8.375000,-0.002915
8.400000,-0.001666
8.425000,0.000537
8.450000,0.001641
8.475000,0.001102
8.500000,0.000746
8.525000,0.000099
8.550000,-0.000217
8.575000,-0.000420
8.600000,0.000114
8.625000,0.001059
8.650000,0.001596
8.675000,0.001773
8.700000,0.002104
8.725000,0.001568
8.750000,0.000808
8.775000,0.000313
8.800000,-0.000615
8.825000,-0.000269
8.850000,-0.000872
8.875000,0.000062
8.900000,-0.001480
8.925000,-0.001446
8.950000,-0.003459
8.975000,-0.003224
9.000000,-0.001781
9.025000,0.000317
9.050000,0.001767
9.075000,0.001211
9.100000,0.000633
9.125000,-0.000245
9.150000,-0.000284
9.175000,-0.000337
9.200000,0.000396
9.225000,0.001402
9.250000,0.001674
9.275000,0.001686
9.300000,0.002049
9.325000,0.001517
9.350000,0.000805
9.375000,0.000305
9.400000,-0.000411
9.425000,-0.000080
9.450000,-0.000558
9.475000,-0.000142
9.500000,-0.001468
9.525000,-0.001312
9.550000,-0.003577
9.575000,-0.003645
9.600000,-0.002076
9.625000,0.000116
9.650000,0.001920
9.675000,0.001288
9.700000,0.000568
9.725000,-0.000101
9.750000,-0.000302
9.775000,-0.000264
9.800000,0.000283
9.825000,0.001196
9.850000,0.001616
9.875000,0.001570
9.900000,0.001950
9.925000,0.001707
9.950000,-0.000448
9.975000,0.000463
10.000000,-0.000087
10.025000,0.000540
10.050000,0.000959
10.075000,0.000124
10.100000,-0.001052
10.125000,-0.001498
10.150000,-0.003566
10.175000,-0.003542
10.200000,-0.002015
10.225000,-0.000130
10.250000,0.002165
10.275000,0.001863
10.300000,0.001139
10.325000,0.000279
10.350000,-0.000095
10.375000,-0.000775
10.400000,-0.000585
10.425000,0.000117
10.450000,0.001198
10.475000,0.001576
10.500000,0.002374
10.525000,0.001326
10.550000,0.000904
10.575000,0.000143
10.600000,-0.000512
10.625000,-0.000155
10.650000,-0.000717
10.675000,-0.000281
10.700000,-0.001258
10.725000,-0.001275
10.750000,-0.003082
10.775000,-0.003452
10.800000,-0.001894
10.825000,-0.000102
10.850000,0.001938
10.875000,0.001362
10.900000,0.000668
10.925000,-0.000239
10.950000,-0.000146
10.975000,-0.000316
11.000000,0.000247
11.025000,0.001228
11.050000,0.001643
11.075000,0.001788
11.100000,0.002062
11.125000,0.001494
11.150000,0.000812
11.175000,0.000230
11.200000,-0.000574
11.225000,-0.000043
11.250000,-0.000660
11.275000,0.000112
11.300000,-0.000924
11.325000,-0.001151
11.350000,-0.003466
11.375000,-0.003670
11.400000,-0.002258
11.425000,0.000174
11.450000,0.002052
11.475000,0.001479
11.500000,0.000971
11.525000,0.000127
11.550000,-0.000312
11.575000,-0.000668
11.600000,-0.000258
11.625000,0.000924
11.650000,0.001390
11.675000,0.001668
11.700000,0.002084
11.725000,0.001653
11.750000,0.000869
11.775000,0.000235
11.800000,-0.000621
11.825000,0.000069
11.850000,-0.000529
11.875000,-0.000094
11.900000,-0.000694
11.925000,-0.000980
11.950000,-0.003160
11.975000,-0.003725
12.000000,-0.002301
12.025000,0.000063
12.050000,0.001996
12.075000,0.001273
12.100000,0.000885
12.125000,0.000182
12.150000,-0.000262
12.175000,-0.000695
12.200000,-0.000272
12.225000,0.000950
12.250000,0.001350
12.275000,0.001678
12.300000,0.002074
12.325000,0.001592
12.350000,0.000844
12.375000,0.000337
12.400000,-0.000601
12.425000,-0.000027
12.450000,-0.000705
12.475000,-0.000381
12.500000,-0.001032
12.525000,-0.001009
12.550000,-0.002925
12.575000,-0.003445
12.600000,-0.001932
12.625000,0.000066
12.650000,0.001840
12.675000,0.001226
12.700000,0.000877
12.725000,0.000174
12.750000,-0.000190
12.775000,-0.000431
12.800000,0.000013
12.825000,0.000998
12.850000,0.001504
12.875000,0.001609
12.900000,0.001932
12.925000,0.001505
12.950000,0.000808
12.975000,0.000376
13.000000,-0.000524
13.025000,0.000029
13.050000,-0.000432
13.075000,0.000278
13.100000,-0.001346
13.125000,-0.001022
13.150000,-0.003304
13.175000,-0.003515
13.200000,-0.002338
13.225000,-0.000133
13.250000,0.002044
13.275000,0.001744
13.300000,0.001197
13.325000,0.000264
13.350000,-0.000114
13.375000,-0.000791
13.400000,-0.000326
13.425000,0.000507
13.450000,0.001310
13.475000,0.001606
13.500000,0.002092
13.525000,0.001569
13.550000,0.000937
13.575000,0.000438
13.600000,-0.000512
13.625000,-0.000099
13.650000,-0.000436
13.675000,-0.000078
13.700000,-0.001480
13.725000,-0.000818
13.750000,-0.003562
13.775000,-0.003685
13.800000,-0.002180
13.825000,0.000132
13.850000,0.001805
13.875000,0.001248
13.900000,0.000773
13.925000,0.000049
13.950000,-0.000224
13.975000,-0.000431
14.000000,0.000016
14.025000,0.001112
14.050000,0.001653
14.075000,0.001686
14.100000,0.002084
14.125000,0.001569
14.150000,0.000853
14.175000,0.000362
14.200000,-0.000508
14.225000,0.000015
14.250000,0.000999
14.275000,0.000238
14.300000,-0.001564
14.325000,-0.001165
14.350000,-0.003653
14.375000,-0.003912
14.400000,-0.003996
14.425000,-0.000524
14.450000,0.002463
14.475000,0.001457
14.500000,0.000987
14.525000,-0.000107
14.550000,-0.000324
14.575000,-0.000578
14.600000,0.000137
14.625000,0.001159
14.650000,0.001707
14.675000,0.001579
14.700000,0.001843
14.725000,0.001572
14.750000,0.000665
14.775000,0.000662
14.800000,-0.000268
14.825000,0.000391
14.850000,0.000667
14.875000,-0.000458
14.900000,-0.001019
14.925000,-0.000626
14.950000,-0.003503
14.975000,-0.003555
15.000000,-0.002470
15.025000,-0.000298
15.050000,0.002324
15.075000,0.001755
15.100000,0.001103
15.125000,0.000058
15.150000,-0.000313
15.175000,-0.000813
15.200000,-0.000415
15.225000,0.000144
15.250000,0.001274
15.275000,0.001474
15.300000,0.002078
15.325000,0.001615
15.350000,0.001053
15.375000,0.000409
15.400000,-0.000372
15.425000,0.000063
15.450000,0.001197
15.475000,0.000342
15.500000,-0.001578
15.525000,-0.001240
15.550000,-0.003889
15.575000,-0.003847
15.600000,-0.003936
15.625000,-0.000496
15.650000,0.002650
15.675000,0.001996
15.700000,0.000950
15.725000,0.000196
15.750000,-0.000364
15.775000,-0.000668
15.800000,-0.000279
15.825000,0.000785
15.850000,0.001523
15.875000,0.001786
15.900000,0.001933
15.925000,0.001553
15.950000,0.000745
15.975000,0.000547
16.000000,-0.000616
16.025000,0.000017
16.050000,0.001148
16.075000,-0.000317
16.100000,-0.001078
16.125000,-0.000558
16.150000,-0.003825
16.175000,-0.003848
16.200000,-0.002681
16.225000,-0.000457
16.250000,0.002400
16.275000,0.001758
16.300000,0.001164
16.325000,0.000355
16.350000,-0.000006
16.375000,-0.000910
16.400000,-0.000535
16.425000,0.000228
16.450000,0.001300
16.475000,0.001479
16.500000,0.002092
16.525000,0.001624
16.550000,0.000849
16.575000,0.000403
16.600000,-0.000572
16.625000,0.000064
16.650000,0.001286
16.675000,-0.000696
16.700000,-0.001189
16.725000,-0.000637
16.750000,-0.003210
16.775000,-0.003595
16.800000,-0.002708
16.825000,-0.000792
16.850000,0.002206
16.875000,0.001757
16.900000,0.001009
16.925000,0.000167
16.950000,-0.000057
16.975000,-0.000905
17.000000,-0.000341
17.025000,0.000275
17.050000,0.001304
17.075000,0.001570
17.100000,0.002008
17.125000,0.001709
17.150000,0.000925
17.175000,0.000432
17.200000,-0.000579
17.225000,0.000069
17.250000,0.001136
17.275000,-0.000806
17.300000,-0.001176
17.325000,-0.000390
17.350000,-0.003437
17.375000,-0.003817
17.400000,-0.002721
17.425000,-0.000712
17.450000,0.002351
17.475000,0.001766
17.500000,0.001271
17.525000,0.000172
17.550000,-0.000156
17.575000,-0.000836
17.600000,-0.000208
17.625000,0.000385
17.650000,0.001231
17.675000,0.001522
17.700000,0.002033
17.725000,0.001610
17.750000,0.000719
17.775000,0.000425
17.800000,-0.000582
17.825000,0.000090
17.850000,0.001178
17.875000,-0.000807
17.900000,-0.001355
17.925000,-0.000371
17.950000,-0.003054
17.975000,-0.003754
18.000000,-0.002635
18.025000,-0.000515
18.050000,0.002257
18.075000,0.001530
18.100000,0.001168
18.125000,0.000088
18.150000,-0.000084
18.175000,-0.000927
18.200000,-0.000154
18.225000,0.000389
18.250000,0.001347
18.275000,0.001549
18.300000,0.002121
18.325000,0.001593
18.350000,0.000811
18.375000,0.000494
18.400000,-0.000476
18.425000,-0.000058
18.450000,0.001141
18.475000,-0.000039
18.500000,-0.001935
18.525000,-0.000734
18.550000,-0.003424
18.575000,-0.003955
18.600000,-0.003431
18.625000,-0.000905
18.650000,0.002285
18.675000,0.001403
18.700000,0.000792
18.725000,-0.000016
18.750000,-0.000290
18.775000,-0.000350
18.800000,0.000403
18.825000,0.001138
18.850000,0.001798
18.875000,0.001649
18.900000,0.001699
18.925000,0.001554
18.950000,0.000545
18.975000,0.000393
19.000000,-0.000182
19.025000,0.000154
19.050000,0.001773
19.075000,-0.000558
19.100000,-0.001470
19.125000,-0.000606
19.150000,-0.003150
19.175000,-0.003884
19.200000,-0.002997
19.225000,-0.001054
19.250000,0.002424
19.275000,0.001495
19.300000,0.001324
19.325000,0.000360
19.350000,-0.000182
19.375000,-0.000956
19.400000,-0.000254
19.425000,0.000457
19.450000,0.001430
19.475000,0.001567
19.500000,0.001995
19.525000,0.001653
19.550000,0.000818
19.575000,0.000333
19.600000,-0.000578
19.625000,-0.000107
19.650000,0.001533
19.675000,-0.000633
19.700000,-0.001062
19.725000,-0.000541
19.750000,-0.003315
19.775000,-0.003925
19.800000,-0.002866
19.825000,-0.000927
19.850000,0.002325
19.875000,0.001507
19.900000,0.001310
19.925000,0.000371
19.950000,-0.000332
19.975000,-0.000829
20.000000,-0.000235
20.025000,0.000509
20.050000,0.001429
20.075000,0.001451
20.100000,0.001868
20.125000,0.001631
20.150000,0.000693
20.175000,0.000549
20.200000,-0.000466
20.225000,-0.000074
20.250000,0.001458
20.275000,-0.000700
20.300000,-0.001455
20.325000,-0.000769
20.350000,-0.003108
20.375000,-0.003781
20.400000,-0.002168
20.425000,-0.000323
20.450000,0.002179
20.475000,0.001399
20.500000,0.001322
20.525000,0.000207
20.550000,-0.000110
20.575000,-0.000886
20.600000,-0.000293
20.625000,0.000294
20.650000,0.001385
20.675000,0.001617
20.700000,0.002035
20.725000,0.001545
20.750000,0.000861
20.775000,0.000486
20.800000,-0.000540
20.825000,-0.000112
20.850000,0.001352
20.875000,0.000005
20.900000,-0.001962
20.925000,-0.001383
20.950000,-0.003748
20.975000,-0.003675
21.000000,-0.002656
21.025000,-0.000526
21.050000,0.002283
21.075000,0.001492
21.100000,0.001022
21.125000,0.000183
21.150000,-0.000386
21.175000,-0.000437
21.200000,0.000042
21.225000,0.000966
21.250000,0.001684
21.275000,0.001681
21.300000,0.001739
21.325000,0.001533
21.350000,0.000752
21.375000,0.000545
21.400000,-0.000679
21.425000,-0.000142
21.450000,0.001206
21.475000,-0.000748
21.500000,-0.001622
21.525000,-0.000847
21.550000,-0.002736
21.575000,-0.003673
21.600000,-0.002614
21.625000,-0.000663
21.650000,0.002196
21.675000,0.001640
21.700000,0.001457
21.725000,0.000175
21.750000,-0.000278
21.775000,-0.000767
21.800000,-0.000353
21.825000,0.000355
21.850000,0.001461
21.875000,0.001550
21.900000,0.001842
21.925000,0.001624
21.950000,0.000805
21.975000,0.000574
22.000000,-0.000491
22.025000,-0.000180
22.050000,0.001479
22.075000,-0.000715
22.100000,-0.001665
22.125000,-0.000921
22.150000,-0.003136
22.175000,-0.003597
22.200000,-0.002547
22.225000,-0.000515
22.250000,0.002214
22.275000,0.001685
22.300000,0.001396
22.325000,0.000164
22.350000,-0.000316
22.375000,-0.000778
22.400000,-0.000222
22.425000,0.000439
22.450000,0.001479
22.475000,0.001533
22.500000,0.001925
22.525000,0.001616
22.550000,0.000796
22.575000,0.000466
22.600000,-0.000571
22.625000,-0.000113
22.650000,0.001418
22.675000,-0.000566
22.700000,-0.001634
22.725000,-0.000820
22.750000,-0.003360
22.775000,-0.003925
22.800000,-0.002974
22.825000,-0.000680
22.850000,0.002298
22.875000,0.001214
22.900000,0.000766
22.925000,-0.000202
22.950000,-0.000228
22.975000,-0.000283
23.000000,0.000494
23.025000,0.001147
23.050000,0.001659
23.075000,0.001669
23.100000,0.001856
23.125000,0.001614
23.150000,0.000758
23.175000,0.000322
23.200000,-0.000403
23.225000,-0.000079
23.250000,0.001611
23.275000,-0.000568
23.300000,-0.001538
23.325000,-0.000879
23.350000,-0.003367
23.375000,-0.003920
23.400000,-0.003017
23.425000,-0.000576
23.450000,0.002189
23.475000,0.001553
23.500000,0.000874
23.525000,0.000013
23.550000,-0.000338
23.575000,-0.000452
23.600000,0.000328
23.625000,0.001083
23.650000,0.001821
23.675000,0.001681
23.700000,0.001800
23.725000,0.001495
23.750000,0.000811
23.775000,0.000372
23.800000,-0.000657
23.825000,-0.000227
23.850000,0.001470
23.875000,-0.000034
23.900000,-0.001761
23.925000,-0.000979
23.950000,-0.003827
23.975000,-0.003912
24.000000,-0.003133
24.025000,-0.000591
24.050000,0.002259
24.075000,0.001451
24.100000,0.000842
24.125000,-0.000276
24.150000,-0.000339
24.175000,-0.000255
24.200000,0.000552
24.225000,0.001141
24.250000,0.001667
24.275000,0.001643
24.300000,0.001853
24.325000,0.001582
24.350000,0.000766
24.375000,0.000370
24.400000,-0.000435
24.425000,-0.000043
24.450000,0.002109
24.475000,-0.000512
24.500000,-0.001593
24.525000,-0.000709
24.550000,-0.003745
24.575000,-0.003976
24.600000,-0.003652
24.625000,-0.000767
24.650000,0.002448
24.675000,0.001545
24.700000,0.000969
24.725000,-0.000289
24.750000,-0.000293
24.775000,-0.000547
24.800000,0.000535
24.825000,0.001042
24.850000,0.001696
24.875000,0.001702
24.900000,0.001883
24.925000,0.001611
24.950000,0.000880
24.975000,0.000691
25.000000,-0.000368
25.025000,-0.000199
25.050000,0.001150
25.075000,0.000159
25.100000,-0.001726
25.125000,-0.001056
25.150000,-0.003991
25.175000,-0.003947
25.200000,-0.003547
25.225000,-0.000598
25.250000,0.002181
25.275000,0.001545
25.300000,0.001093
25.325000,-0.000041
25.350000,-0.000111
25.375000,-0.000378
25.400000,0.000520
25.425000,0.001066
25.450000,0.001609
25.475000,0.001654
25.500000,0.002005
25.525000,0.001569
25.550000,0.000731
25.575000,0.000715
25.600000,-0.000390
25.625000,-0.000224
25.650000,0.001235
25.675000,-0.000203
25.700000,-0.002676
25.725000,-0.000336
25.750000,-0.003139
25.775000,-0.003701
25.800000,-0.003005
25.825000,-0.000685
25.850000,0.002382
25.875000,0.001894
25.900000,0.001199
25.925000,0.000244
25.950000,-0.000479
25.975000,-0.000972
26.000000,-0.000339
26.025000,0.000549
26.050000,0.001730
26.075000,0.001771
26.100000,0.002042
26.125000,0.001580
26.150000,0.000762
26.175000,0.000402
26.200000,-0.000551
26.225000,-0.000143
26.250000,0.001051
26.275000,-0.000344
26.300000,-0.001744
26.325000,-0.001172
26.350000,-0.003114
26.375000,-0.003540
26.400000,-0.002749
26.425000,-0.000587
26.450000,0.001983
26.475000,0.001455
26.500000,0.000849
26.525000,-0.000134
26.550000,-0.000268
26.575000,-0.000491
26.600000,0.000459
26.625000,0.001170
26.650000,0.001771
26.675000,0.001676
26.700000,0.002060
26.725000,0.001553
26.750000,0.000610
26.775000,0.000309
26.800000,-0.000610
26.825000,-0.000134
26.850000,0.001234
26.875000,-0.000317
26.900000,-0.001738
26.925000,-0.001137
26.950000,-0.003407
26.975000,-0.003467
27.000000,-0.002871
27.025000,-0.000469
27.050000,0.001944
27.075000,0.001476
27.100000,0.000983
27.125000,-0.000186
27.150000,-0.000289
27.175000,-0.000471
27.200000,0.000507
27.225000,0.001126
27.250000,0.001770
27.275000,0.001754
27.300000,0.002096
27.325000,0.001506
27.350000,0.000757
27.375000,0.000385
27.400000,-0.000711
27.425000,-0.000240
27.450000,0.001187
27.475000,-0.000038
27.500000,-0.002372
27.525000,-0.000905
27.550000,-0.003630
27.575000,-0.003681
27.600000,-0.003289
27.625000,-0.000687
27.650000,0.001973
27.675000,0.001245
27.700000,0.000819
27.725000,-0.000129
27.750000,0.000007
27.775000,-0.000128
27.800000,0.000662
27.825000,0.001369
27.850000,0.001550
27.875000,0.001659
27.900000,0.001720
27.925000,0.001535
27.950000,0.000742
27.975000,0.000605
28.000000,-0.000295
28.025000,0.000059
28.050000,0.001478
28.075000,-0.000530
28.100000,-0.001820
28.125000,-0.000986
28.150000,-0.003519
28.175000,-0.003526
28.200000,-0.002818
28.225000,-0.000573
28.250000,0.001906
28.275000,0.001613
28.300000,0.000967
28.325000,-0.000161
28.350000,-0.000173
28.375000,-0.000406
28.400000,0.000537
28.425000,0.001106
28.450000,0.001693
28.475000,0.001787
28.500000,0.002094
28.525000,0.001551
28.550000,0.000730
28.575000,0.000350
28.600000,-0.000740
28.625000,-0.000146
28.650000,0.001113
28.675000,-0.000046
28.700000,-0.002940
28.725000,-0.001377
28.750000,-0.003732
28.775000,-0.003607
28.800000,-0.002606
28.825000,-0.000058
28.850000,0.001896
28.875000,0.001256
28.900000,0.000739
28.925000,-0.000060
28.950000,-0.000001
28.975000,-0.000246
29.000000,0.000532
29.025000,0.001106
29.050000,0.001613
29.075000,0.001659
29.100000,0.001673
29.125000,0.001546
29.150000,0.000787
29.175000,0.000613
29.200000,-0.000272
29.225000,0.000037
29.250000,0.001450
29.275000,-0.000315
29.300000,-0.001422
29.325000,-0.001060
29.350000,-0.003384
29.375000,-0.003857
29.400000,-0.003419
29.425000,-0.000744
29.450000,0.002111
29.475000,0.001761
29.500000,0.000861
29.525000,-0.000091
29.550000,-0.000127
29.575000,-0.000363
29.600000,0.000455
29.625000,0.001048
29.650000,0.001609
29.675000,0.001821
29.700000,0.002166
29.725000,0.001667
29.750000,0.000701
29.775000,0.000189
29.800000,-0.000772
29.825000,-0.000113
29.850000,0.000834
29.875000,0.000152
29.900000,-0.002088
29.925000,-0.001332
29.950000,-0.003788
29.975000,-0.003529
30.000000,-0.002827
30.025000,-0.000399
30.050000,0.001867
30.075000,0.001342
30.100000,0.000878
30.125000,0.000060
30.150000,0.000009
30.175000,-0.000393
30.200000,0.000524
30.225000,0.001047
30.250000,0.001526
30.275000,0.001702
30.300000,0.001869
30.325000,0.001633
30.350000,0.000876
30.375000,0.000564
30.400000,-0.000465
30.425000,-0.000090
30.450000,0.000224
30.475000,-0.000389
30.500000,-0.001680
30.525000,-0.000883
30.550000,-0.002808
30.575000,-0.003700
30.600000,-0.002870
30.625000,-0.000224
30.650000,0.001703
30.675000,0.001593
30.700000,0.000618
30.725000,-0.000066
30.750000,-0.000070
30.775000,-0.000296
30.800000,0.000498
30.825000,0.001103
30.850000,0.001567
30.875000,0.001564
30.900000,0.002238
30.925000,0.001681
30.950000,0.000766
30.975000,0.000360
31.000000,-0.000473
31.025000,-0.000206
31.050000,0.000216
31.075000,-0.000385
31.100000,-0.001985
31.125000,-0.000870
31.150000,-0.002970
31.175000,-0.003332
31.200000,-0.002929
31.225000,-0.000626
31.250000,0.001827
31.275000,0.001761
31.300000,0.000666
31.325000,-0.000189
31.350000,-0.000050
31.375000,-0.000340
31.400000,0.000419
31.425000,0.001098
31.450000,0.001541
31.475000,0.001529
31.500000,0.002028
31.525000,0.001703
31.550000,0.000964
31.575000,0.000580
31.600000,-0.000293
31.625000,-0.000189
31.650000,0.000085
31.675000,-0.000168
31.700000,-0.001880
31.725000,-0.000894
31.750000,-0.003456
31.775000,-0.003431
31.800000,-0.002876
31.825000,-0.000669
31.850000,0.001603
31.875000,0.001666
31.900000,0.000916
31.925000,0.000169
31.950000,0.000208
31.975000,-0.000388
32.000000,0.000415
32.025000,0.001005
32.050000,0.001510
32.075000,0.001562
32.100000,0.002101
32.125000,0.001730
32.150000,0.000897
32.175000,0.000495
32.200000,-0.000523
32.225000,-0.000260
32.250000,-0.000018
32.275000,-0.000456
32.300000,-0.001675
32.325000,-0.000989
32.350000,-0.003020
32.375000,-0.003443
32.400000,-0.002608
32.425000,-0.000347
32.450000,0.001713
32.475000,0.001657
32.500000,0.000738
32.525000,-0.000215
32.550000,-0.000053
32.575000,-0.000502
32.600000,0.000417
32.625000,0.001132
32.650000,0.001560
32.675000,0.001539
32.700000,0.002087
32.725000,0.001735
32.750000,0.000938
32.775000,0.000629
32.800000,-0.000242
