simulation time,yL
3.025000,0.133449
3.050000,0.134978
3.075000,0.129527
3.100000,0.113163
3.125000,0.104132
3.150000,0.097140
3.175000,0.086274
3.200000,0.077018
3.225000,0.062416
3.250000,0.059799
3.275000,0.049475
3.300000,0.033436
3.325000,0.035533
3.350000,0.019367
3.375000,0.019816
3.400000,0.016310
3.425000,0.013547
3.450000,0.034255
3.475000,0.029099
3.500000,0.014637
3.525000,0.003336
3.550000,0.001452
3.575000,0.003449
3.600000,0.003403
3.625000,-0.000111
3.650000,-0.001316
3.675000,-0.004965
3.700000,-0.011613
3.725000,-0.017297
3.750000,-0.025916
3.775000,-0.030547
3.800000,-0.032790
3.825000,-0.034516
3.850000,-0.038657
3.875000,-0.035945
3.900000,-0.025807
3.925000,-0.029852
3.950000,-0.040837
3.975000,-0.029915
4.000000,-0.019315
4.025000,0.005308
4.050000,-0.009272
4.075000,-0.011289
4.100000,-0.008440
4.125000,-0.004581
4.150000,-0.011744
4.175000,-0.019856
4.200000,-0.033728
4.225000,-0.038356
4.250000,-0.032863
4.275000,-0.016874
4.300000,-0.014430
4.325000,-0.023468
4.350000,-0.023518
4.375000,-0.019959
4.400000,-0.016359
4.425000,-0.018457
4.450000,-0.020246
4.475000,-0.016296
4.500000,-0.010854
4.525000,-0.009921
4.550000,-0.014468
4.575000,-0.015181
4.600000,-0.009578
4.625000,-0.006598
4.650000,-0.021562
4.675000,-0.026608
4.700000,-0.027861
4.725000,-0.019739
4.750000,-0.029172
4.775000,-0.030095
4.800000,-0.009166
4.825000,0.002025
4.850000,-0.005228
4.875000,-0.008353
4.900000,-0.009692
4.925000,-0.005638
4.950000,-0.004728
4.975000,-0.003516
5.000000,-0.000721
5.025000,-0.001626
5.050000,-0.002678
5.075000,-0.005049
5.100000,-0.007913
5.125000,-0.011818
5.150000,-0.015065
5.175000,-0.010156
5.200000,-0.004817
5.225000,-0.015197
5.250000,-0.020451
5.275000,-0.014325
5.300000,-0.010642
5.325000,-0.018014
5.350000,-0.017245
5.375000,-0.008713
5.400000,-0.001546
5.425000,0.006740
5.450000,0.004546
5.475000,0.005921
5.500000,0.004051
5.525000,0.003409
5.550000,-0.000306
5.575000,-0.002091
5.600000,-0.000933
5.625000,-0.003055
5.650000,-0.003166
5.675000,-0.000634
5.700000,-0.000304
5.725000,-0.000651
5.750000,-0.000047
5.775000,-0.000106
5.800000,-0.000909
5.825000,-0.012264
5.850000,-0.009784
5.875000,-0.008179
5.900000,-0.008261
5.925000,-0.017171
5.950000,-0.014892
5.975000,-0.007743
6.000000,-0.000398
6.025000,0.006301
6.050000,0.003383
6.075000,0.003976
6.100000,0.002403
6.125000,0.001293
6.150000,-0.001561
6.175000,-0.000896
6.200000,-0.000222
6.225000,0.001249
6.250000,0.000642
6.275000,0.003829
6.300000,0.003395
6.325000,0.000778
6.350000,0.001079
6.375000,0.002034
6.400000,0.001056
6.425000,-0.006809
6.450000,-0.004290
6.475000,-0.004455
6.500000,-0.010752
6.525000,-0.014246
6.550000,-0.014939
6.575000,-0.008584
6.600000,-0.000663
6.625000,0.004889
6.650000,0.003807
6.675000,0.002063
6.700000,0.001465
6.725000,0.000679
6.750000,-0.002414
6.775000,-0.000904
6.800000,0.000671
6.825000,0.004031
6.850000,0.005325
6.875000,0.007751
6.900000,0.005608
6.925000,0.003901
6.950000,0.001444
6.975000,0.001982
7.000000,0.001231
7.025000,-0.007271
7.050000,-0.004600
7.075000,-0.003905
7.100000,-0.009426
7.125000,-0.016663
7.150000,-0.014852
7.175000,-0.009252
7.200000,-0.001390
7.225000,0.003436
7.250000,0.002531
7.275000,0.000887
7.300000,-0.000301
7.325000,-0.001596
7.350000,-0.001575
7.375000,0.000830
7.400000,0.005373
7.425000,0.005914
7.450000,0.006838
7.475000,0.009592
7.500000,0.007446
7.525000,0.005120
7.550000,0.003285
7.575000,-0.000310
7.600000,0.000746
7.625000,-0.004150
7.650000,-0.001686
7.675000,-0.005912
7.700000,-0.005298
7.725000,-0.013981
7.750000,-0.014234
7.775000,-0.008791
7.800000,-0.001382
7.825000,0.003522
7.850000,0.003196
7.875000,0.001440
7.900000,-0.000776
7.925000,-0.000930
7.950000,-0.001628
7.975000,0.000320
8.000000,0.004293
8.025000,0.006359
8.050000,0.007254
8.075000,0.009023
8.100000,0.007031
8.125000,0.005762
8.150000,0.003601
8.175000,-0.000211
8.200000,0.000458
8.225000,-0.004061
8.250000,-0.001958
8.275000,-0.007053
8.300000,-0.005298
8.325000,-0.012452
8.350000,-0.012760
8.375000,-0.008609
8.400000,-0.000637
8.425000,0.003471
8.450000,0.002036
8.475000,0.001871
8.500000,0.000009
8.525000,-0.000857
8.550000,-0.001676
8.575000,0.000335
8.600000,0.003868
8.625000,0.005976
8.650000,0.007097
8.675000,0.009042
8.700000,0.007409
8.725000,0.004985
8.750000,0.003324
8.775000,-0.000517
8.800000,0.000671
8.825000,-0.002448
8.850000,0.001049
8.875000,-0.005806
8.900000,-0.005488
8.925000,-0.014245
8.950000,-0.013577
8.975000,-0.008998
9.000000,-0.001621
9.025000,0.003884
9.050000,0.002296
9.075000,0.001334
9.100000,-0.001358
9.125000,-0.001103
9.150000,-0.001482
9.175000,0.001315
9.200000,0.005147
9.225000,0.006323
9.250000,0.006950
9.275000,0.009049
9.300000,0.007345
9.325000,0.005059
9.350000,0.003335
9.375000,0.000350
9.400000,0.001448
9.425000,-0.001080
9.450000,0.000369
9.475000,-0.005437
9.500000,-0.004788
9.525000,-0.014613
9.550000,-0.015106
9.575000,-0.010047
9.600000,-0.002499
9.625000,0.004325
9.650000,0.002352
9.675000,0.000946
9.700000,-0.000806
9.725000,-0.001240
9.750000,-0.001160
9.775000,0.000869
9.800000,0.004376
9.825000,0.006109
9.850000,0.006393
9.875000,0.008558
9.900000,0.007999
9.925000,-0.000187
9.950000,0.004093
9.975000,0.001101
10.000000,0.003510
10.025000,0.004827
10.050000,0.001409
10.075000,-0.003025
10.100000,-0.004839
10.125000,-0.013803
10.150000,-0.014186
10.175000,-0.009431
10.200000,-0.003156
10.225000,0.005659
10.250000,0.004810
10.275000,0.003426
10.300000,0.001127
10.325000,0.000193
10.350000,-0.002556
10.375000,-0.001929
10.400000,0.000437
10.425000,0.004440
10.450000,0.005935
10.475000,0.009681
10.500000,0.005975
10.525000,0.005226
10.550000,0.002427
10.575000,-0.000180
10.600000,0.000995
10.625000,-0.001884
10.650000,-0.000337
10.675000,-0.004767
10.700000,-0.004878
10.725000,-0.012698
10.750000,-0.014424
10.775000,-0.009164
10.800000,-0.003177
10.825000,0.004674
10.850000,0.002751
10.875000,0.001414
10.900000,-0.001289
10.925000,-0.000475
10.950000,-0.001353
10.975000,0.000821
11.000000,0.004567
11.025000,0.006247
11.050000,0.007315
11.075000,0.009033
11.100000,0.007258
11.125000,0.005114
11.150000,0.003045
11.175000,-0.000286
11.200000,0.001605
11.225000,-0.001574
11.250000,0.001371
11.275000,-0.003336
11.300000,-0.004151
11.325000,-0.013901
