simulation time,yL
3.025000,0.000273
3.050000,0.001016
3.075000,-0.002408
3.100000,-0.004370
3.125000,-0.005066
3.150000,-0.003777
3.175000,-0.004411
3.200000,-0.004298
3.225000,-0.001120
3.250000,0.002083
3.275000,0.002870
3.300000,0.003738
3.325000,0.002548
3.350000,-0.000665
3.375000,0.002400
3.400000,0.002662
3.425000,0.002587
3.450000,0.002046
3.475000,-0.007726
3.500000,-0.014524
3.525000,-0.013872
3.550000,-0.006412
3.575000,-0.004469
3.600000,0.008189
3.625000,-0.005430
3.650000,-0.003117
3.675000,-0.005423
3.700000,-0.001359
3.725000,-0.000615
3.750000,0.003382
3.775000,0.007771
3.800000,0.007302
3.825000,0.007876
3.850000,0.003433
3.875000,0.002998
3.900000,0.002230
3.925000,-0.000811
3.950000,-0.003305
3.975000,0.004247
4.000000,0.005036
4.025000,0.005069
4.050000,-0.006853
4.075000,-0.007698
4.100000,-0.013469
4.125000,-0.010332
4.150000,-0.001573
4.175000,-0.001761
4.200000,-0.001716
4.225000,-0.007171
4.250000,-0.005110
4.275000,0.000559
4.300000,0.004953
4.325000,0.010552
4.350000,0.010462
4.375000,0.011196
4.400000,0.006566
4.425000,0.006648
4.450000,0.006576
4.475000,0.005143
4.500000,0.001932
4.525000,-0.000812
4.550000,-0.005533
4.575000,0.002951
4.600000,0.001981
4.625000,0.004531
4.650000,-0.006273
4.675000,-0.008991
4.700000,-0.017568
4.725000,-0.006479
4.750000,-0.001162
4.775000,0.000558
4.800000,0.003368
4.825000,-0.003938
4.850000,-0.001275
4.875000,-0.000891
4.900000,0.003396
4.925000,0.004831
4.950000,0.006845
4.975000,0.009468
5.000000,0.007871
5.025000,0.008329
5.050000,0.006372
5.075000,0.005220
5.100000,0.001761
5.125000,0.001339
5.150000,-0.001449
5.175000,0.003644
5.200000,0.003322
5.225000,0.005932
5.250000,-0.004489
5.275000,-0.007226
5.300000,-0.019077
5.325000,-0.015219
5.350000,-0.008003
5.375000,0.003211
5.400000,0.004543
5.425000,-0.001505
5.450000,-0.000806
5.475000,-0.000906
5.500000,-0.000089
5.525000,-0.000784
5.550000,0.002706
5.575000,0.004877
5.600000,0.005636
5.625000,0.006494
5.650000,0.006692
5.675000,0.007385
5.700000,0.005339
5.725000,0.002505
5.750000,0.000122
5.775000,0.004025
5.800000,0.003350
5.825000,0.004777
5.850000,0.004266
5.875000,-0.006949
5.900000,-0.013391
5.925000,-0.019507
5.950000,-0.014296
5.975000,-0.004351
6.000000,0.008941
6.025000,-0.002302
6.050000,0.000752
6.075000,-0.000928
6.100000,0.001493
6.125000,-0.000992
6.150000,0.003685
6.175000,0.005166
6.200000,0.007061
6.225000,0.007572
6.250000,0.006620
6.275000,0.003969
6.300000,0.005642
6.325000,0.002443
6.350000,0.001629
6.375000,0.005541
6.400000,0.004751
6.425000,0.003686
6.450000,-0.001654
6.475000,-0.006975
6.500000,-0.014831
6.525000,-0.018110
6.550000,-0.014884
6.575000,-0.003631
6.600000,0.006860
6.625000,-0.002307
6.650000,-0.002287
6.675000,-0.007484
6.700000,-0.002196
6.725000,-0.000354
6.750000,0.003741
6.775000,0.006841
6.800000,0.007544
6.825000,0.008637
6.850000,0.007618
6.875000,0.004823
6.900000,0.001730
6.925000,-0.000672
6.950000,-0.005255
6.975000,0.004060
7.000000,0.003041
7.025000,0.007866
7.050000,-0.008752
7.075000,-0.006949
7.100000,-0.017350
7.125000,-0.010541
7.150000,-0.003033
7.175000,0.003593
7.200000,0.004727
7.225000,-0.004165
7.250000,-0.002485
7.275000,-0.002615
7.300000,0.000563
7.325000,0.003042
7.350000,0.004038
7.375000,0.008444
7.400000,0.008342
7.425000,0.006894
7.450000,0.006374
7.475000,0.004757
7.500000,0.001020
7.525000,0.000800
7.550000,-0.001177
7.575000,0.003594
7.600000,0.003142
7.625000,0.006830
7.650000,-0.000209
7.675000,-0.010025
7.700000,-0.017947
7.725000,-0.014270
7.750000,-0.008086
7.775000,0.002098
7.800000,0.004760
7.825000,-0.002221
7.850000,-0.000592
7.875000,0.000323
7.900000,0.000081
7.925000,0.000265
7.950000,0.002326
7.975000,0.003270
8.000000,0.004354
8.025000,0.006613
8.050000,0.006783
8.075000,0.005999
8.100000,0.004276
8.125000,0.003079
8.150000,0.000095
